segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels,drainage_efficiency,rainfall_per_return_period,simplified_risks
SEG-00013,"Sydney, Australia",Zone II,-33.930529,151.140718,CAT-169,-3.0,SRTM_3arc,Commercial,B,10.62,70.9,CurbInlet,ERA5,18.5,5,low_lying,0.1477051460361613,3.7,Medium Risk
SEG-00014,"Athens, Greece",District 29,38.054642,23.718257,CAT-024,18.54,Copernicus_GLO-30_v2023,Commercial,B,9.08,248.0,OpenChannel,ERA5,29.1,10,monitor,0.036465863453815264,2.91,Low Risk
SEG-00015,"Nairobi, Kenya",Borough North,-1.263708,36.869893,CAT-160,88.57,SRTM_1arc,Commercial,B,4.86,105.1,CurbInlet,ERA5,32.1,50,monitor,0.04580584354382659,0.642,Low Risk
SEG-00016,"Miami, USA",District 20,25.727376,-80.21539,CAT-091,13.43,SRTM_1arc,Green,A,3.45,53.3,OpenChannel,ERA5,52.6,25,monitor,0.06353591160220995,2.104,Low Risk
SEG-00017,"Lima, Peru",Borough Central,-12.041346,-77.085898,CAT-038,8.99,Copernicus_EEA-10_v5,Commercial,B,9.23,128.4,CurbInlet,Blended,41.3,5,monitor,0.07132921174652242,8.26,Low Risk
SEG-00018,"Miami, USA",District 28,25.76789,-80.255953,CAT-126,3.29,Copernicus_GLO-30_v2023,Residential,D,7.63,153.6,CurbInlet,ERA5,95.3,10,ponding_hotspot|extreme_rain_history|low_lying|event_2024-09-25,0.049353169469598966,9.53,High Risk
SEG-00019,"Hong Kong, China",Zone III,22.216858,114.128052,CAT-125,15.75,SRTM_1arc,Roads,B,8.77,145.3,CurbInlet,ERA5,82.8,25,extreme_rain_history,0.05994531784005468,3.312,High Risk
SEG-00020,"Kuala Lumpur, Malaysia",Zone VI,3.140932,101.706156,CAT-148,67.05,SRTM_1arc,Industrial,A,9.23,118.7,OpenChannel,ERA5,63.6,25,monitor,0.077109440267335,2.544,Low Risk
SEG-00021,"Singapore, Singapore",District 14,1.387557,103.790327,CAT-009,25.130000000000003,SRTM_1arc,Roads,D,5.23,39.1,Manhole,ERA5,63.6,25,monitor|event_2022-09-04,0.13042394014962594,2.544,Low Risk
SEG-00022,"Rome, Italy",Sector 21,41.945883,12.423044,CAT-030,31.58,Copernicus_GLO-30_v2023,Green,C,4.72,58.2,OpenChannel,ERA5,30.0,2,monitor,0.07972972972972972,15.0,Low Risk
SEG-00023,"Chennai, India",District 3,13.171312,80.196503,CAT-080,25.130000000000003,SRTM_1arc,Green,C,4.39,159.7,GratedInlet,ERA5,53.6,10,monitor,0.02731798382078407,5.36,Low Risk
SEG-00024,"Brisbane, Australia",Zone IX,-27.476021,153.101193,CAT-133,33.74,Copernicus_GLO-30_v2023,Roads,C,7.6,91.2,GratedInlet,IMD,26.2,25,monitor,0.08242950108459869,1.048,Low Risk
SEG-00025,"Montreal, Canada",Sector 10,45.433867,-73.57936,CAT-165,4.25,SRTM_1arc,Residential,D,3.27,11.2,GratedInlet,LocalGauge,31.1,2,ponding_hotspot|low_lying|event_2024-07-31,0.2680327868852459,15.55,High Risk
SEG-00026,"Hanoi, Vietnam",Ward G,20.951943,105.796832,CAT-010,40.28,SRTM_3arc,Residential,B,4.89,124.4,CurbInlet,ERA5,36.8,10,monitor,0.03899521531100478,3.6799999999999997,Low Risk
SEG-00027,"Vancouver, Canada",Ward K,49.378623,-123.142702,CAT-153,15.0,Copernicus_GLO-90_v2022,Residential,D,5.17,44.6,CurbInlet,ERA5,30.9,25,monitor,0.11337719298245613,1.236,Low Risk
SEG-00028,"Seoul, South Korea",Zone V,37.548966,126.860714,CAT-011,109.32,SRTM_3arc,Water,A,6.25,83.0,Manhole,ERA5,52.2,100,monitor,0.0744047619047619,0.522,Low Risk
SEG-00029,"Lima, Peru",Borough South,-12.039791,-77.085746,CAT-167,90.74,SRTM_3arc,Industrial,A,6.57,24.6,GratedInlet,ERA5,64.0,10,monitor,0.256640625,6.4,Low Risk
SEG-00030,"San Francisco, USA",Sector 12,37.770337,-122.398163,CAT-048,93.76,Copernicus_GLO-30_v2023,Industrial,D,12.07,54.0,Manhole,ERA5,39.8,25,monitor,0.21945454545454546,1.5919999999999999,Low Risk
SEG-00031,"Rotterdam, Netherlands",Borough Riverside,51.905471,4.551063,CAT-156,9.16,SRTM_1arc,Industrial,C,6.25,91.69999999999999,OpenChannel,IMD,15.1,5,monitor,0.06742179072276161,3.02,Low Risk
SEG-00032,"Bengaluru, India",Zone II,12.980622,77.636965,CAT-138,28.34,Copernicus_GLO-30_v2023,Water,C,3.71,22.6,CurbInlet,ERA5,41.9,10,monitor,0.15720338983050847,4.1899999999999995,Low Risk
SEG-00033,"New Orleans, USA",Sector 15,29.976976,-90.21051,CAT-024,10.34,Copernicus_GLO-30_v2023,Industrial,B,5.36,6.0,Manhole,ERA5,20.9,10,monitor,0.7657142857142858,2.09,Low Risk
SEG-00034,"Nairobi, Kenya",Borough Hillside,-1.3106,36.827329,CAT-175,-3.0,SRTM_3arc,Roads,B,9.25,64.4,CurbInlet,LocalGauge,15.6,2,low_lying,0.1414373088685015,7.8,Medium Risk
SEG-00035,"Dhaka, Bangladesh",District 11,23.697673,90.424359,CAT-012,38.61,Copernicus_GLO-30_v2023,Roads,C,7.44,193.1,OpenChannel,IMD,28.2,2,monitor,0.03833075734157651,14.1,Low Risk
SEG-00036,"Pune, India",Borough Old Town,18.58017,73.955841,CAT-173,13.78,SRTM_1arc,Commercial,B,4.67,127.2,CurbInlet,ERA5,21.6,2,monitor,0.03642745709828393,10.8,Low Risk
SEG-00037,"Washington DC, USA",Borough Harbor,38.938489,-76.993755,CAT-043,-1.61,SRTM_1arc,Mixed,B,6.64,11.2,Manhole,ERA5,42.6,2,low_lying,0.5442622950819672,21.3,Medium Risk
SEG-00038,"Shanghai, China",Ward A,31.162448,121.443756,CAT-030,15.68,SRTM_1arc,Residential,A,5.76,80.7,CurbInlet,IMD,29.9,5,monitor,0.07050183598531211,5.9799999999999995,Low Risk
SEG-00039,"Karachi, Pakistan",District 11,24.898906,67.042908,CAT-007,194.75,Copernicus_GLO-30_v2023,Commercial,A,9.58,18.6,CurbInlet,LocalGauge,22.0,25,monitor,0.4887755102040816,0.88,Low Risk
SEG-00040,"Colombo, Sri Lanka",Sector 9,6.946996,79.866172,CAT-096,9.86,Copernicus_EEA-10_v5,Green,C,6.25,10.2,GratedInlet,ERA5,72.2,50,monitor,0.5580357142857143,1.444,Low Risk
SEG-00041,"Amsterdam, Netherlands",Sector 14,52.259884,4.915955,CAT-043,23.52,Copernicus_GLO-90_v2022,Green,A,4.14,91.69999999999999,GratedInlet,ERA5,35.3,50,monitor,0.044660194174757285,0.706,Low Risk
SEG-00042,"Bogotá, Colombia",District 13,4.700349,-74.167433,CAT-080,110.63,SRTM_3arc,Mixed,A,5.32,50.8,CurbInlet,ERA5,25.0,10,monitor,0.10270270270270271,2.5,Low Risk
SEG-00043,"Lima, Peru",Ward A,-12.010978,-76.999135,CAT-060,70.23,Copernicus_EEA-10_v5,Roads,B,4.72,156.1,OpenChannel,Blended,40.3,5,monitor,0.030044557606619986,8.059999999999999,Low Risk
SEG-00044,"Montreal, Canada",Sector 1,45.550481,-73.562016,CAT-123,62.3,SRTM_3arc,Institutional,A,7.2,116.3,Manhole,ERA5,24.0,25,monitor,0.061381074168797956,0.96,Low Risk
SEG-00045,"Ahmedabad, India",Ward E,23.103579,72.614063,CAT-054,125.01,Copernicus_GLO-30_v2023,Mixed,B,9.7,80.0,CurbInlet,ERA5,48.1,25,monitor,0.11975308641975307,1.9240000000000002,Low Risk
SEG-00046,"Paris, France",Ward E,48.854264,2.375006,CAT-135,77.71,SRTM_1arc,Residential,B,3.43,69.8,GratedInlet,ERA5,38.8,25,monitor,0.04844632768361582,1.5519999999999998,Low Risk
SEG-00047,"Vancouver, Canada",Ward D,49.398904,-123.124709,CAT-065,12.38,Copernicus_EEA-10_v5,Roads,D,6.62,38.2,GratedInlet,ERA5,29.0,2,monitor,0.16887755102040816,14.5,Low Risk
SEG-00048,"Ahmedabad, India",Ward E,22.945161,72.586269,CAT-027,17.34,Copernicus_EEA-10_v5,Water,D,4.14,20.3,CurbInlet,ERA5,28.8,100,monitor,0.19436619718309858,0.28800000000000003,Low Risk
SEG-00049,"Dhaka, Bangladesh",Borough East,23.712662,90.542488,CAT-126,44.27,SRTM_3arc,Residential,B,6.25,70.9,CurbInlet,IMD,68.8,100,monitor,0.08692628650904033,0.688,Low Risk
SEG-00050,"Shenzhen, China",Zone VII,22.497561,114.026625,CAT-045,25.130000000000003,Copernicus_EEA-10_v5,Roads,B,9.69,115.7,Manhole,IMD,79.8,25,monitor,0.08303341902313624,3.1919999999999997,Low Risk
SEG-00051,"Washington DC, USA",Borough Hillside,38.943781,-76.999643,CAT-033,19.19,Copernicus_GLO-90_v2022,Industrial,B,9.99,22.4,CurbInlet,IMD,25.9,5,monitor,0.42692307692307696,5.18,Low Risk
SEG-00052,"Hong Kong, China",Ward E,22.355356,114.241956,CAT-071,24.27,SRTM_3arc,Commercial,C,6.4,112.6,CurbInlet,ERA5,62.3,50,monitor,0.05633802816901409,1.246,Low Risk
SEG-00053,"Mexico City, Mexico",Sector 11,19.415445,-99.196033,CAT-034,54.96,SRTM_3arc,Commercial,B,5.23,69.6,CurbInlet,ERA5,39.3,50,monitor,0.07407932011331446,0.7859999999999999,Low Risk
SEG-00054,"Kuala Lumpur, Malaysia",District 26,3.09333,101.739592,CAT-029,33.84,Copernicus_GLO-30_v2023,Roads,B,8.17,101.4,Manhole,LocalGauge,77.6,50,monitor,0.07978515624999999,1.5519999999999998,Low Risk
SEG-00055,"Amsterdam, Netherlands",Ward K,52.338707,4.873985,CAT-161,18.79,SRTM_1arc,Green,B,6.25,91.69999999999999,CurbInlet,ERA5,36.5,25,monitor,0.06742179072276161,1.46,Low Risk
SEG-00056,"Mexico City, Mexico",Sector 26,19.454178,-99.104387,CAT-076,121.11,SRTM_1arc,Residential,B,8.39,66.5,OpenChannel,ERA5,36.9,100,monitor,0.12429629629629631,0.369,Low Risk
SEG-00057,"Singapore, Singapore",District 14,1.390561,103.837383,CAT-166,25.130000000000003,SRTM_3arc,Roads,B,8.34,73.8,CurbInlet,ERA5,150.0,50,ponding_hotspot|extreme_rain_history|event_2022-10-11,0.11149732620320855,3.0,High Risk
SEG-00058,"Tehran, Iran",Borough Hillside,35.692218,51.489906,CAT-150,4.07,SRTM_3arc,Commercial,C,7.63,42.2,GratedInlet,ERA5,15.0,25,low_lying,0.17662037037037034,0.6,Medium Risk
SEG-00059,"Bogotá, Colombia",Sector 26,4.675203,-73.978098,CAT-163,3.59,Copernicus_GLO-30_v2023,Informal,A,6.25,167.0,CurbInlet,IMD,14.0,10,low_lying,0.03720238095238095,1.4,Medium Risk
SEG-00060,"Taipei, Taiwan",District 23,24.916909,121.592372,CAT-160,50.4,SRTM_3arc,Roads,B,7.95,15.0,CurbInlet,Blended,40.8,5,monitor,0.496875,8.16,Low Risk
SEG-00061,"San Francisco, USA",Borough Old Town,37.690835,-122.45266,CAT-139,66.57,SRTM_3arc,Roads,C,8.8,86.6,Manhole,LocalGauge,80.4,5,extreme_rain_history,0.10045662100456622,16.080000000000002,High Risk
SEG-00062,"Mexico City, Mexico",Borough Old Town,19.512895,-99.05693,CAT-150,14.73,SRTM_3arc,Roads,A,7.81,120.5,Manhole,ERA5,47.3,5,monitor,0.0642798353909465,9.459999999999999,Low Risk
SEG-00063,"Jakarta, Indonesia",Sector 9,-6.269827,106.847064,CAT-160,6.38,Copernicus_GLO-30_v2023,Green,B,2.73,133.7,Manhole,LocalGauge,53.7,2,low_lying|sparse_drainage,0.02026726057906459,26.85,Medium Risk
SEG-00064,"Kuala Lumpur, Malaysia",District 13,3.188477,101.738006,CAT-003,68.26,Copernicus_GLO-90_v2022,Industrial,D,9.7,30.1,CurbInlet,ERA5,45.0,50,monitor,0.3118971061093247,0.9,Low Risk
SEG-00065,"Barcelona, Spain",District 11,41.494167,2.061047,CAT-083,9.32,SRTM_3arc,Roads,B,7.79,106.7,CurbInlet,ERA5,31.1,25,monitor,0.072330547818013,1.244,Low Risk
SEG-00066,"Manila, Philippines",Ward B,14.645109,120.944,CAT-068,25.12,SRTM_1arc,Roads,B,6.25,44.6,OpenChannel,ERA5,77.8,25,monitor,0.1370614035087719,3.112,Low Risk
SEG-00067,"Karachi, Pakistan",Sector 16,24.894516,66.99248,CAT-158,105.73,Copernicus_GLO-30_v2023,Residential,A,6.39,103.5,Manhole,IMD,13.0,5,monitor,0.061148325358851674,2.6,Low Risk
SEG-00068,"Chennai, India",Borough Central,13.07693,80.268495,CAT-022,0.17,Copernicus_GLO-30_v2023,Roads,C,6.25,91.69999999999999,GratedInlet,LocalGauge,49.3,25,ponding_hotspot|low_lying|event_2024-07-21,0.06742179072276161,1.972,High Risk
SEG-00069,"Lagos, Nigeria",Zone VI,6.504458,3.368462,CAT-116,6.76,SRTM_3arc,Roads,D,7.46,11.5,GratedInlet,ERA5,85.8,25,ponding_hotspot|extreme_rain_history|low_lying|event_2023-05-16,0.5968,3.432,High Risk
SEG-00070,"Accra, Ghana",Sector 7,5.667662,-0.214601,CAT-153,-3.0,SRTM_1arc,Mixed,B,8.63,128.8,GratedInlet,ERA5,62.6,5,low_lying,0.06648690292758089,12.52,Medium Risk
SEG-00071,"Durban, South Africa",Ward G,-29.807949,30.926977,CAT-114,29.63,Copernicus_EEA-10_v5,Commercial,B,6.61,27.8,CurbInlet,ERA5,31.5,100,monitor,0.2295138888888889,0.315,Low Risk
SEG-00072,"Seoul, South Korea",Sector 28,37.629794,126.97571,CAT-134,9.2,SRTM_1arc,Residential,B,3.61,124.6,Manhole,ERA5,23.4,25,monitor,0.02874203821656051,0.9359999999999999,Low Risk
SEG-00073,"Barcelona, Spain",Ward B,41.391372,2.063055,CAT-143,17.29,Copernicus_EEA-10_v5,Residential,C,3.08,279.5,CurbInlet,LocalGauge,41.7,5,monitor,0.010980392156862745,8.34,Low Risk
SEG-00074,"Kuala Lumpur, Malaysia",Ward I,3.182771,101.805347,CAT-113,111.02,SRTM_1arc,Roads,B,7.47,259.6,OpenChannel,LocalGauge,109.1,50,extreme_rain_history,0.028664620107444357,2.182,High Risk
SEG-00075,"Shanghai, China",Zone I,31.171222,121.392772,CAT-059,17.09,Copernicus_GLO-30_v2023,Commercial,B,6.25,89.7,GratedInlet,ERA5,48.6,50,monitor,0.06890848952590958,0.972,Low Risk
SEG-00076,"Auckland, New Zealand",District 28,-36.914207,174.717566,CAT-115,73.7,Copernicus_EEA-10_v5,Residential,C,6.25,98.8,Manhole,ERA5,35.7,10,monitor,0.06262525050100201,3.5700000000000003,Low Risk
SEG-00077,"Tokyo, Japan",Sector 19,35.617194,139.668548,CAT-050,77.35,Copernicus_GLO-30_v2023,Commercial,C,6.25,242.5,OpenChannel,LocalGauge,64.0,25,monitor,0.02566735112936345,2.56,Low Risk
SEG-00078,"Tehran, Iran",Zone III,35.709705,51.366584,CAT-001,64.16,SRTM_1arc,Commercial,D,10.58,52.8,CurbInlet,IMD,23.5,5,monitor,0.19665427509293681,4.7,Low Risk
SEG-00079,"Brisbane, Australia",Borough East,-27.300398,153.054727,CAT-116,25.130000000000003,SRTM_3arc,Mixed,C,6.67,161.5,CurbInlet,IMD,32.3,100,monitor,0.04104615384615384,0.32299999999999995,Low Risk
SEG-00080,"Dhaka, Bangladesh",Borough Delta,23.760802,90.417449,CAT-041,37.1,SRTM_1arc,Industrial,B,10.58,198.0,GratedInlet,IMD,82.7,100,extreme_rain_history,0.05316582914572864,0.8270000000000001,High Risk
SEG-00081,"Buenos Aires, Argentina",Ward J,-34.718054,-58.379462,CAT-112,85.45,Copernicus_GLO-90_v2022,Residential,C,8.64,67.7,GratedInlet,Blended,19.5,2,monitor,0.125764192139738,9.75,Low Risk
SEG-00082,"Colombo, Sri Lanka",Ward E,6.843577,79.842526,CAT-116,17.18,Copernicus_GLO-90_v2022,Green,C,2.93,154.8,GratedInlet,ERA5,51.4,10,sparse_drainage,0.018806161745827984,5.14,Medium Risk
SEG-00083,"Accra, Ghana",Sector 8,5.62251,-0.22747,CAT-101,-1.2,SRTM_3arc,Roads,A,8.66,91.69999999999999,OpenChannel,ERA5,38.7,5,low_lying,0.09341963322545849,7.74,Medium Risk
SEG-00084,"Paris, France",Borough Delta,48.808427,2.279906,CAT-169,103.83,SRTM_3arc,Commercial,B,3.81,4.2,Manhole,ERA5,19.6,50,monitor,0.7326923076923076,0.392,Low Risk
SEG-00085,"Doha, Qatar",Zone VIII,25.200856,51.667687,CAT-162,46.88,SRTM_3arc,Roads,A,4.51,120.1,OpenChannel,ERA5,25.9,10,monitor,0.03724194880264244,2.59,Low Risk
SEG-00086,"Istanbul, Türkiye",Sector 21,40.940379,28.973808,CAT-014,97.56,SRTM_1arc,Residential,C,3.02,10.2,GratedInlet,ERA5,29.5,10,monitor,0.2696428571428572,2.95,Low Risk
SEG-00087,"San Francisco, USA",Ward G,37.699621,-122.366738,CAT-053,29.5,SRTM_1arc,Commercial,D,7.5,12.8,GratedInlet,ERA5,33.4,2,monitor,0.5434782608695652,16.7,Low Risk
SEG-00088,"Singapore, Singapore",Ward F,1.30347,103.820979,CAT-147,2.95,Copernicus_GLO-30_v2023,Commercial,A,9.32,104.2,Manhole,Blended,52.8,25,low_lying,0.08859315589353613,2.112,Medium Risk
SEG-00089,"Houston, USA",District 11,29.738211,-95.43419,CAT-164,46.98,Copernicus_GLO-30_v2023,Green,A,2.0,74.8,OpenChannel,IMD,31.9,2,sparse_drainage,0.026385224274406333,15.95,Medium Risk
SEG-00090,"Cape Town, South Africa",District 5,-33.993151,18.480013,CAT-048,91.93,SRTM_1arc,Residential,C,4.15,118.5,GratedInlet,ERA5,21.4,5,monitor,0.03472803347280335,4.279999999999999,Low Risk
SEG-00091,"Amsterdam, Netherlands",Sector 21,52.446797,4.866846,CAT-127,25.130000000000003,Copernicus_GLO-30_v2023,Residential,B,5.16,76.2,GratedInlet,ERA5,44.6,100,monitor,0.06683937823834196,0.446,Low Risk
SEG-00092,"Hamburg, Germany",District 8,53.629559,9.992491,CAT-117,75.56,SRTM_3arc,Industrial,D,6.25,91.69999999999999,CurbInlet,IMD,40.9,10,monitor,0.06742179072276161,4.09,Low Risk
SEG-00093,"New Orleans, USA",Sector 5,29.958394,-90.21213,CAT-071,25.130000000000003,Copernicus_GLO-30_v2023,Water,B,6.03,179.8,Manhole,ERA5,22.6,5,monitor,0.033351769911504424,4.5200000000000005,Low Risk
SEG-00094,"Rome, Italy",Sector 1,41.899658,12.477563,CAT-174,44.38,Copernicus_EEA-10_v5,Commercial,B,6.25,41.3,GratedInlet,ERA5,24.8,50,monitor,0.14775413711583926,0.496,Low Risk
SEG-00095,"Singapore, Singapore",Zone II,1.250584,103.964467,CAT-001,27.64,SRTM_1arc,Residential,D,6.56,45.1,Manhole,IMD,69.3,10,monitor,0.1422993492407809,6.93,Low Risk
SEG-00096,"Shanghai, China",Zone V,31.227445,121.422029,CAT-153,9.11,Copernicus_EEA-10_v5,Water,B,5.44,75.8,CurbInlet,ERA5,24.5,25,monitor,0.07083333333333335,0.98,Low Risk
SEG-00097,"Hong Kong, China",Sector 11,22.228144,114.256566,CAT-084,9.36,SRTM_1arc,Residential,D,7.15,199.4,OpenChannel,ERA5,31.5,2,monitor,0.03567864271457086,15.75,Low Risk
SEG-00098,"Hong Kong, China",Ward K,22.312751,114.103122,CAT-095,16.76,SRTM_3arc,Commercial,D,4.83,91.69999999999999,CurbInlet,ERA5,68.1,2,monitor,0.05210355987055017,34.05,Low Risk
SEG-00099,"Taipei, Taiwan",Borough West,25.005631,121.506985,CAT-062,131.12,SRTM_1arc,Industrial,B,8.8,91.69999999999999,CurbInlet,IMD,40.4,2,monitor,0.09492988133764835,20.2,Low Risk
SEG-00100,"Shanghai, China",Sector 20,31.190875,121.479518,CAT-022,11.38,Copernicus_GLO-30_v2023,Industrial,D,8.27,65.0,CurbInlet,ERA5,49.7,5,monitor,0.1253030303030303,9.940000000000001,Low Risk
SEG-00101,"Athens, Greece",Borough Harbor,37.961044,23.563666,CAT-081,20.72,SRTM_1arc,Roads,A,6.87,50.9,GratedInlet,IMD,26.2,10,monitor,0.1323699421965318,2.62,Low Risk
SEG-00102,"Riyadh, Saudi Arabia",Zone IV,24.64336,46.686333,CAT-118,47.45,Copernicus_GLO-90_v2022,Green,A,6.25,165.1,CurbInlet,ERA5,23.0,10,monitor,0.03762793497892836,2.3,Low Risk
SEG-00103,"Paris, France",Borough Harbor,48.893045,2.260981,CAT-017,21.87,Copernicus_EEA-10_v5,Residential,B,8.19,44.3,Manhole,ERA5,18.4,25,monitor,0.18079470198675496,0.736,Low Risk
SEG-00104,"Hamburg, Germany",District 16,53.611978,10.108059,CAT-043,65.35,Copernicus_EEA-10_v5,Industrial,C,10.74,6.2,GratedInlet,ERA5,24.4,25,monitor,1.4916666666666667,0.976,Low Risk
SEG-00105,"Amsterdam, Netherlands",District 4,52.342532,4.859696,CAT-091,7.72,SRTM_3arc,Commercial,A,9.35,91.69999999999999,Manhole,LocalGauge,27.1,10,low_lying,0.10086299892125136,2.71,Medium Risk
SEG-00106,"Durban, South Africa",District 9,-29.853424,31.032758,CAT-014,38.05,SRTM_3arc,Institutional,B,2.56,91.69999999999999,CurbInlet,ERA5,32.3,10,sparse_drainage|event_2024-05-19,0.027615965480043154,3.2299999999999995,Medium Risk
SEG-00107,"Washington DC, USA",Ward F,38.999216,-77.039618,CAT-003,-3.0,SRTM_3arc,Green,B,6.25,203.1,GratedInlet,IMD,33.9,10,low_lying,0.03062224399804018,3.3899999999999997,Medium Risk
SEG-00108,"Buenos Aires, Argentina",Sector 23,-34.693569,-58.313554,CAT-072,63.9,Copernicus_GLO-30_v2023,Commercial,D,6.25,41.7,OpenChannel,IMD,47.7,25,monitor,0.14637002341920374,1.9080000000000001,Low Risk
SEG-00109,"Riyadh, Saudi Arabia",Sector 8,24.714514,46.722161,CAT-051,54.72,Copernicus_GLO-30_v2023,Residential,B,7.38,0.6,GratedInlet,ERA5,11.4,5,monitor,4.6125,2.2800000000000002,Low Risk
SEG-00110,"Ahmedabad, India",District 27,23.069753,72.619834,CAT-149,95.87,Copernicus_EEA-10_v5,Industrial,A,6.25,49.4,GratedInlet,IMD,27.2,2,monitor,0.12400793650793651,13.6,Low Risk
SEG-00111,"Doha, Qatar",Zone VIII,25.213652,51.455758,CAT-023,64.2,Copernicus_EEA-10_v5,Residential,C,5.17,180.2,OpenChannel,LocalGauge,12.6,50,monitor,0.028532008830022076,0.252,Low Risk
SEG-00112,"Nairobi, Kenya",Sector 7,-1.430486,36.81412,CAT-137,41.46,SRTM_3arc,Residential,D,3.49,115.2,GratedInlet,ERA5,15.5,5,monitor,0.030034423407917385,3.1,Low Risk
SEG-00113,"Bangkok, Thailand",District 24,13.831079,100.405684,CAT-131,39.34,SRTM_3arc,Residential,B,3.69,32.1,Manhole,ERA5,61.7,10,monitor,0.11148036253776435,6.17,Low Risk
SEG-00114,"New Orleans, USA",Ward B,29.885492,-90.129196,CAT-073,18.2,SRTM_1arc,Residential,B,7.24,302.1,CurbInlet,Blended,25.0,10,monitor,0.02388650610359617,2.5,Low Risk
SEG-00115,"Mumbai, India",Ward K,18.958103,72.945249,CAT-154,12.78,Copernicus_GLO-30_v2023,Green,D,6.25,234.9,CurbInlet,ERA5,60.4,100,monitor,0.026494277236116998,0.604,Low Risk
SEG-00116,"San Francisco, USA",District 22,37.817249,-122.539137,CAT-134,137.68,SRTM_3arc,Commercial,B,4.5,206.7,OpenChannel,ERA5,22.0,5,monitor,0.021665864227250843,4.4,Low Risk
SEG-00117,"Bogotá, Colombia",Sector 9,4.615015,-74.103586,CAT-011,86.21,SRTM_1arc,Commercial,D,5.68,229.7,OpenChannel,Blended,26.3,2,monitor,0.024620719549198092,13.15,Low Risk
SEG-00118,"Delhi, India",Zone VIII,28.578707,77.129648,CAT-146,52.0,SRTM_3arc,Residential,A,5.05,52.1,Manhole,LocalGauge,57.2,50,monitor,0.0951035781544256,1.1440000000000001,Low Risk
SEG-00119,"Paris, France",Zone VIII,49.00432,2.384769,CAT-003,80.1,SRTM_1arc,Roads,B,11.5,91.69999999999999,OpenChannel,Blended,26.2,50,monitor,0.12405609492988136,0.524,Low Risk
SEG-00120,"Athens, Greece",Ward G,38.085449,23.694449,CAT-138,89.01,SRTM_3arc,Residential,B,4.69,251.2,OpenChannel,ERA5,33.3,100,monitor,0.018596352101506744,0.33299999999999996,Low Risk
