city_name,latitude,longitude,elevation_m,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,historical_rainfall_intensity_mm_hr,return_period_years,drainage_efficiency,rainfall_per_return_period,simplified_risks
"Montreal, Canada",45.433867,-73.57936,4.25,Residential,D,3.27,11.2,GratedInlet,31.1,2,0.2680327868852459,15.55,High Risk
"Hanoi, Vietnam",20.951943,105.796832,40.28,Residential,B,4.89,124.4,CurbInlet,36.8,10,0.03899521531100478,3.6799999999999997,Low Risk
"Vancouver, Canada",49.378623,-123.142702,15.0,Residential,D,5.17,44.6,CurbInlet,30.9,25,0.11337719298245613,1.236,Low Risk
"Seoul, South Korea",37.548966,126.860714,109.32,Water,A,6.25,83.0,Manhole,52.2,100,0.0744047619047619,0.522,Low Risk
"Lima, Peru",-12.039791,-77.085746,90.74,Industrial,A,6.57,24.6,GratedInlet,64.0,10,0.256640625,6.4,Low Risk
"San Francisco, USA",37.770337,-122.398163,93.76,Industrial,D,12.07,54.0,Manhole,39.8,25,0.21945454545454546,1.5919999999999999,Low Risk
"Rotterdam, Netherlands",51.905471,4.551063,9.16,Industrial,C,6.25,91.69999999999999,OpenChannel,15.1,5,0.06742179072276161,3.02,Low Risk
"Bengaluru, India",12.980622,77.636965,28.34,Water,C,3.71,22.6,CurbInlet,41.9,10,0.15720338983050847,4.1899999999999995,Low Risk
"New Orleans, USA",29.976976,-90.21051,10.34,Industrial,B,5.36,6.0,Manhole,20.9,10,0.7657142857142858,2.09,Low Risk
"Nairobi, Kenya",-1.3106,36.827329,-3.0,Roads,B,9.25,64.4,CurbInlet,15.6,2,0.1414373088685015,7.8,Medium Risk
"Dhaka, Bangladesh",23.697673,90.424359,38.61,Roads,C,7.44,193.1,OpenChannel,28.2,2,0.03833075734157651,14.1,Low Risk
"Pune, India",18.58017,73.955841,13.78,Commercial,B,4.67,127.2,CurbInlet,21.6,2,0.03642745709828393,10.8,Low Risk
"Washington DC, USA",38.938489,-76.993755,-1.61,Mixed,B,6.64,11.2,Manhole,42.6,2,0.5442622950819672,21.3,Medium Risk
"Shanghai, China",31.162448,121.443756,15.68,Residential,A,5.76,80.7,CurbInlet,29.9,5,0.07050183598531211,5.9799999999999995,Low Risk
"Karachi, Pakistan",24.898906,67.042908,194.75,Commercial,A,9.58,18.6,CurbInlet,22.0,25,0.4887755102040816,0.88,Low Risk
"Colombo, Sri Lanka",6.946996,79.866172,9.86,Green,C,6.25,10.2,GratedInlet,72.2,50,0.5580357142857143,1.444,Low Risk
"Amsterdam, Netherlands",52.259884,4.915955,23.52,Green,A,4.14,91.69999999999999,GratedInlet,35.3,50,0.044660194174757285,0.706,Low Risk
"Bogotá, Colombia",4.700349,-74.167433,110.63,Mixed,A,5.32,50.8,CurbInlet,25.0,10,0.10270270270270271,2.5,Low Risk
"Lima, Peru",-12.010978,-76.999135,70.23,Roads,B,4.72,156.1,OpenChannel,40.3,5,0.030044557606619986,8.059999999999999,Low Risk
"Montreal, Canada",45.550481,-73.562016,62.3,Institutional,A,7.2,116.3,Manhole,24.0,25,0.061381074168797956,0.96,Low Risk
"Ahmedabad, India",23.103579,72.614063,125.01,Mixed,B,9.7,80.0,CurbInlet,48.1,25,0.11975308641975307,1.9240000000000002,Low Risk
"Paris, France",48.854264,2.375006,77.71,Residential,B,3.43,69.8,GratedInlet,38.8,25,0.04844632768361582,1.5519999999999998,Low Risk
"Vancouver, Canada",49.398904,-123.124709,12.38,Roads,D,6.62,38.2,GratedInlet,29.0,2,0.16887755102040816,14.5,Low Risk
"Ahmedabad, India",22.945161,72.586269,17.34,Water,D,4.14,20.3,CurbInlet,28.8,100,0.19436619718309858,0.28800000000000003,Low Risk
"Dhaka, Bangladesh",23.712662,90.542488,44.27,Residential,B,6.25,70.9,CurbInlet,68.8,100,0.08692628650904033,0.688,Low Risk
"Shenzhen, China",22.497561,114.026625,25.130000000000003,Roads,B,9.69,115.7,Manhole,79.8,25,0.08303341902313624,3.1919999999999997,Low Risk
"Washington DC, USA",38.943781,-76.999643,19.19,Industrial,B,9.99,22.4,CurbInlet,25.9,5,0.42692307692307696,5.18,Low Risk
"Hong Kong, China",22.355356,114.241956,24.27,Commercial,C,6.4,112.6,CurbInlet,62.3,50,0.05633802816901409,1.246,Low Risk
"Mexico City, Mexico",19.415445,-99.196033,54.96,Commercial,B,5.23,69.6,CurbInlet,39.3,50,0.07407932011331446,0.7859999999999999,Low Risk
"Kuala Lumpur, Malaysia",3.09333,101.739592,33.84,Roads,B,8.17,101.4,Manhole,77.6,50,0.07978515624999999,1.5519999999999998,Low Risk
"Amsterdam, Netherlands",52.338707,4.873985,18.79,Green,B,6.25,91.69999999999999,CurbInlet,36.5,25,0.06742179072276161,1.46,Low Risk
"Mexico City, Mexico",19.454178,-99.104387,121.11,Residential,B,8.39,66.5,OpenChannel,36.9,100,0.12429629629629631,0.369,Low Risk
"Singapore, Singapore",1.390561,103.837383,25.130000000000003,Roads,B,8.34,73.8,CurbInlet,150.0,50,0.11149732620320855,3.0,High Risk
"Tehran, Iran",35.692218,51.489906,4.07,Commercial,C,7.63,42.2,GratedInlet,15.0,25,0.17662037037037034,0.6,Medium Risk
"Bogotá, Colombia",4.675203,-73.978098,3.59,Informal,A,6.25,167.0,CurbInlet,14.0,10,0.03720238095238095,1.4,Medium Risk
"Taipei, Taiwan",24.916909,121.592372,50.4,Roads,B,7.95,15.0,CurbInlet,40.8,5,0.496875,8.16,Low Risk
"San Francisco, USA",37.690835,-122.45266,66.57,Roads,C,8.8,86.6,Manhole,80.4,5,0.10045662100456622,16.080000000000002,High Risk
"Mexico City, Mexico",19.512895,-99.05693,14.73,Roads,A,7.81,120.5,Manhole,47.3,5,0.0642798353909465,9.459999999999999,Low Risk
"Jakarta, Indonesia",-6.269827,106.847064,6.38,Green,B,2.73,133.7,Manhole,53.7,2,0.02026726057906459,26.85,Medium Risk
"Kuala Lumpur, Malaysia",3.188477,101.738006,68.26,Industrial,D,9.7,30.1,CurbInlet,45.0,50,0.3118971061093247,0.9,Low Risk
"Barcelona, Spain",41.494167,2.061047,9.32,Roads,B,7.79,106.7,CurbInlet,31.1,25,0.072330547818013,1.244,Low Risk
"Manila, Philippines",14.645109,120.944,25.12,Roads,B,6.25,44.6,OpenChannel,77.8,25,0.1370614035087719,3.112,Low Risk
"Karachi, Pakistan",24.894516,66.99248,105.73,Residential,A,6.39,103.5,Manhole,13.0,5,0.061148325358851674,2.6,Low Risk
"Chennai, India",13.07693,80.268495,0.17,Roads,C,6.25,91.69999999999999,GratedInlet,49.3,25,0.06742179072276161,1.972,High Risk
"Lagos, Nigeria",6.504458,3.368462,6.76,Roads,D,7.46,11.5,GratedInlet,85.8,25,0.5968,3.432,High Risk
"Accra, Ghana",5.667662,-0.214601,-3.0,Mixed,B,8.63,128.8,GratedInlet,62.6,5,0.06648690292758089,12.52,Medium Risk
"Durban, South Africa",-29.807949,30.926977,29.63,Commercial,B,6.61,27.8,CurbInlet,31.5,100,0.2295138888888889,0.315,Low Risk
"Seoul, South Korea",37.629794,126.97571,9.2,Residential,B,3.61,124.6,Manhole,23.4,25,0.02874203821656051,0.9359999999999999,Low Risk
"Barcelona, Spain",41.391372,2.063055,17.29,Residential,C,3.08,279.5,CurbInlet,41.7,5,0.010980392156862745,8.34,Low Risk
"Kuala Lumpur, Malaysia",3.182771,101.805347,111.02,Roads,B,7.47,259.6,OpenChannel,109.1,50,0.028664620107444357,2.182,High Risk
"Shanghai, China",31.171222,121.392772,17.09,Commercial,B,6.25,89.7,GratedInlet,48.6,50,0.06890848952590958,0.972,Low Risk
"Auckland, New Zealand",-36.914207,174.717566,73.7,Residential,C,6.25,98.8,Manhole,35.7,10,0.06262525050100201,3.5700000000000003,Low Risk
"Tokyo, Japan",35.617194,139.668548,77.35,Commercial,C,6.25,242.5,OpenChannel,64.0,25,0.02566735112936345,2.56,Low Risk
"Tehran, Iran",35.709705,51.366584,64.16,Commercial,D,10.58,52.8,CurbInlet,23.5,5,0.19665427509293681,4.7,Low Risk
"Brisbane, Australia",-27.300398,153.054727,25.130000000000003,Mixed,C,6.67,161.5,CurbInlet,32.3,100,0.04104615384615384,0.32299999999999995,Low Risk
"Dhaka, Bangladesh",23.760802,90.417449,37.1,Industrial,B,10.58,198.0,GratedInlet,82.7,100,0.05316582914572864,0.8270000000000001,High Risk
"Buenos Aires, Argentina",-34.718054,-58.379462,85.45,Residential,C,8.64,67.7,GratedInlet,19.5,2,0.125764192139738,9.75,Low Risk
"Colombo, Sri Lanka",6.843577,79.842526,17.18,Green,C,2.93,154.8,GratedInlet,51.4,10,0.018806161745827984,5.14,Medium Risk
"Accra, Ghana",5.62251,-0.22747,-1.2,Roads,A,8.66,91.69999999999999,OpenChannel,38.7,5,0.09341963322545849,7.74,Medium Risk
"Paris, France",48.808427,2.279906,103.83,Commercial,B,3.81,4.2,Manhole,19.6,50,0.7326923076923076,0.392,Low Risk
"Doha, Qatar",25.200856,51.667687,46.88,Roads,A,4.51,120.1,OpenChannel,25.9,10,0.03724194880264244,2.59,Low Risk
"Istanbul, Türkiye",40.940379,28.973808,97.56,Residential,C,3.02,10.2,GratedInlet,29.5,10,0.2696428571428572,2.95,Low Risk
"San Francisco, USA",37.699621,-122.366738,29.5,Commercial,D,7.5,12.8,GratedInlet,33.4,2,0.5434782608695652,16.7,Low Risk
"Singapore, Singapore",1.30347,103.820979,2.95,Commercial,A,9.32,104.2,Manhole,52.8,25,0.08859315589353613,2.112,Medium Risk
"Houston, USA",29.738211,-95.43419,46.98,Green,A,2.0,74.8,OpenChannel,31.9,2,0.026385224274406333,15.95,Medium Risk
"Cape Town, South Africa",-33.993151,18.480013,91.93,Residential,C,4.15,118.5,GratedInlet,21.4,5,0.03472803347280335,4.279999999999999,Low Risk
"Amsterdam, Netherlands",52.446797,4.866846,25.130000000000003,Residential,B,5.16,76.2,GratedInlet,44.6,100,0.06683937823834196,0.446,Low Risk
"Hamburg, Germany",53.629559,9.992491,75.56,Industrial,D,6.25,91.69999999999999,CurbInlet,40.9,10,0.06742179072276161,4.09,Low Risk
"New Orleans, USA",29.958394,-90.21213,25.130000000000003,Water,B,6.03,179.8,Manhole,22.6,5,0.033351769911504424,4.5200000000000005,Low Risk
"Rome, Italy",41.899658,12.477563,44.38,Commercial,B,6.25,41.3,GratedInlet,24.8,50,0.14775413711583926,0.496,Low Risk
"Singapore, Singapore",1.250584,103.964467,27.64,Residential,D,6.56,45.1,Manhole,69.3,10,0.1422993492407809,6.93,Low Risk
"Shanghai, China",31.227445,121.422029,9.11,Water,B,5.44,75.8,CurbInlet,24.5,25,0.07083333333333335,0.98,Low Risk
"Hong Kong, China",22.228144,114.256566,9.36,Residential,D,7.15,199.4,OpenChannel,31.5,2,0.03567864271457086,15.75,Low Risk
"Hong Kong, China",22.312751,114.103122,16.76,Commercial,D,4.83,91.69999999999999,CurbInlet,68.1,2,0.05210355987055017,34.05,Low Risk
"Taipei, Taiwan",25.005631,121.506985,131.12,Industrial,B,8.8,91.69999999999999,CurbInlet,40.4,2,0.09492988133764835,20.2,Low Risk
"Shanghai, China",31.190875,121.479518,11.38,Industrial,D,8.27,65.0,CurbInlet,49.7,5,0.1253030303030303,9.940000000000001,Low Risk
"Athens, Greece",37.961044,23.563666,20.72,Roads,A,6.87,50.9,GratedInlet,26.2,10,0.1323699421965318,2.62,Low Risk
"Riyadh, Saudi Arabia",24.64336,46.686333,47.45,Green,A,6.25,165.1,CurbInlet,23.0,10,0.03762793497892836,2.3,Low Risk
"Paris, France",48.893045,2.260981,21.87,Residential,B,8.19,44.3,Manhole,18.4,25,0.18079470198675496,0.736,Low Risk
"Hamburg, Germany",53.611978,10.108059,65.35,Industrial,C,10.74,6.2,GratedInlet,24.4,25,1.4916666666666667,0.976,Low Risk
"Amsterdam, Netherlands",52.342532,4.859696,7.72,Commercial,A,9.35,91.69999999999999,Manhole,27.1,10,0.10086299892125136,2.71,Medium Risk
"Durban, South Africa",-29.853424,31.032758,38.05,Institutional,B,2.56,91.69999999999999,CurbInlet,32.3,10,0.027615965480043154,3.2299999999999995,Medium Risk
"Washington DC, USA",38.999216,-77.039618,-3.0,Green,B,6.25,203.1,GratedInlet,33.9,10,0.03062224399804018,3.3899999999999997,Medium Risk
"Buenos Aires, Argentina",-34.693569,-58.313554,63.9,Commercial,D,6.25,41.7,OpenChannel,47.7,25,0.14637002341920374,1.9080000000000001,Low Risk
"Riyadh, Saudi Arabia",24.714514,46.722161,54.72,Residential,B,7.38,0.6,GratedInlet,11.4,5,4.6125,2.2800000000000002,Low Risk
"Ahmedabad, India",23.069753,72.619834,95.87,Industrial,A,6.25,49.4,GratedInlet,27.2,2,0.12400793650793651,13.6,Low Risk
"Doha, Qatar",25.213652,51.455758,64.2,Residential,C,5.17,180.2,OpenChannel,12.6,50,0.028532008830022076,0.252,Low Risk
"Nairobi, Kenya",-1.430486,36.81412,41.46,Residential,D,3.49,115.2,GratedInlet,15.5,5,0.030034423407917385,3.1,Low Risk
"Bangkok, Thailand",13.831079,100.405684,39.34,Residential,B,3.69,32.1,Manhole,61.7,10,0.11148036253776435,6.17,Low Risk
"New Orleans, USA",29.885492,-90.129196,18.2,Residential,B,7.24,302.1,CurbInlet,25.0,10,0.02388650610359617,2.5,Low Risk
"Mumbai, India",18.958103,72.945249,12.78,Green,D,6.25,234.9,CurbInlet,60.4,100,0.026494277236116998,0.604,Low Risk
"San Francisco, USA",37.817249,-122.539137,137.68,Commercial,B,4.5,206.7,OpenChannel,22.0,5,0.021665864227250843,4.4,Low Risk
"Bogotá, Colombia",4.615015,-74.103586,86.21,Commercial,D,5.68,229.7,OpenChannel,26.3,2,0.024620719549198092,13.15,Low Risk
"Delhi, India",28.578707,77.129648,52.0,Residential,A,5.05,52.1,Manhole,57.2,50,0.0951035781544256,1.1440000000000001,Low Risk
"Paris, France",49.00432,2.384769,80.1,Roads,B,11.5,91.69999999999999,OpenChannel,26.2,50,0.12405609492988136,0.524,Low Risk
"Athens, Greece",38.085449,23.694449,89.01,Residential,B,4.69,251.2,OpenChannel,33.3,100,0.018596352101506744,0.33299999999999996,Low Risk
"Barcelona, Spain",41.397426,2.130915,7.75,Industrial,A,8.81,13.6,OpenChannel,59.5,5,0.6034246575342467,11.9,Medium Risk
"Copenhagen, Denmark",55.752965,12.543794,33.28,Industrial,B,9.34,192.4,OpenChannel,39.7,10,0.04829369183040331,3.97,Low Risk
"San Francisco, USA",37.667235,-122.385164,157.71,Roads,B,7.72,58.6,CurbInlet,32.7,5,0.12953020134228188,6.540000000000001,Low Risk
"London, UK",51.538351,-0.044745,19.38,Residential,B,6.81,217.2,CurbInlet,25.5,5,0.031209899175068744,5.1,Low Risk
"Hong Kong, China",22.363853,114.231517,-3.0,Green,D,6.46,196.4,Manhole,80.0,50,0.03272543059777102,1.6,High Risk
"Houston, USA",29.76286,-95.326222,-3.0,Residential,B,3.25,257.9,OpenChannel,14.1,10,0.012553109308613366,1.41,Medium Risk
"Miami, USA",25.683689,-80.143126,20.23,Commercial,A,7.96,80.1,CurbInlet,64.0,100,0.09815043156596795,0.64,Low Risk
"New Orleans, USA",29.917917,-90.133784,10.49,Residential,D,8.41,85.6,Manhole,34.8,2,0.09711316397228638,17.4,Low Risk
"Manila, Philippines",14.626959,121.034607,5.55,Residential,D,2.59,206.9,OpenChannel,43.3,25,0.012457912457912456,1.732,Medium Risk
"Athens, Greece",37.93318,23.867411,101.45,Commercial,A,8.64,107.2,CurbInlet,50.0,25,0.07985212569316082,2.0,Low Risk
"Singapore, Singapore",1.381917,103.765085,9.63,Commercial,A,9.38,250.4,OpenChannel,47.4,25,0.037311058074781224,1.896,Low Risk
"San Francisco, USA",37.826832,-122.317446,25.130000000000003,Industrial,B,5.84,51.2,GratedInlet,39.1,50,0.11187739463601531,0.782,Low Risk
"Tokyo, Japan",35.619716,139.666566,85.07,Roads,A,7.14,22.0,OpenChannel,13.1,5,0.3104347826086956,2.62,Low Risk
"New Orleans, USA",30.013738,-89.898774,7.31,Roads,C,9.29,62.7,OpenChannel,88.1,5,0.14583987441130297,17.619999999999997,High Risk
"Karachi, Pakistan",24.79732,66.950893,39.82,Commercial,D,5.92,26.1,CurbInlet,29.7,5,0.218450184501845,5.9399999999999995,Low Risk
"Karachi, Pakistan",24.92432,67.113589,-3.0,Residential,D,5.59,22.5,Manhole,26.8,2,0.2378723404255319,13.4,High Risk
"Jakarta, Indonesia",-6.291373,106.866273,23.46,Residential,B,4.57,19.6,CurbInlet,99.9,10,0.22184466019417476,9.99,High Risk
"Nairobi, Kenya",-1.189306,36.702201,33.15,Residential,B,3.78,87.1,Manhole,28.6,25,0.04290578887627696,1.1440000000000001,Low Risk
"Nairobi, Kenya",-1.294683,36.690698,0.43,Residential,B,5.92,15.7,OpenChannel,19.6,2,0.35449101796407184,9.8,Medium Risk
"Chennai, India",13.094673,80.136531,1.55,Residential,B,6.25,175.8,CurbInlet,78.8,50,0.035350678733031674,1.5759999999999998,Medium Risk
"Mumbai, India",19.119209,72.974745,-1.52,Industrial,B,5.29,80.9,Manhole,60.4,25,0.06459096459096458,2.416,High Risk
"Karachi, Pakistan",24.873609,67.004016,168.72,Commercial,B,5.13,126.1,Manhole,53.8,5,0.04036191974822974,10.76,Low Risk
"Shenzhen, China",22.601394,114.076103,11.56,Roads,B,7.98,92.1,CurbInlet,129.1,100,0.08571428571428573,1.291,High Risk
"Rome, Italy",41.918194,12.655554,25.130000000000003,Green,B,6.25,224.5,GratedInlet,37.3,5,0.02771618625277162,7.459999999999999,Low Risk
"Lima, Peru",-12.092222,-77.063148,25.130000000000003,Residential,A,3.38,74.1,GratedInlet,85.6,5,0.04500665778961385,17.119999999999997,High Risk
"Osaka, Japan",34.572652,135.500546,-3.0,Residential,C,6.25,86.9,GratedInlet,33.4,2,0.07110352673492605,16.7,High Risk
"Jakarta, Indonesia",-6.355887,106.72977,8.53,Residential,A,6.13,99.6,Manhole,65.8,10,0.06093439363817098,6.58,Low Risk
"Lima, Peru",-11.99651,-77.205472,76.66,Residential,B,4.03,91.69999999999999,OpenChannel,56.9,10,0.043473570658036684,5.6899999999999995,Low Risk
"Cape Town, South Africa",-33.916867,18.403212,25.130000000000003,Residential,D,3.9,6.0,CurbInlet,72.5,50,0.5571428571428572,1.45,Low Risk
"Kuala Lumpur, Malaysia",3.132832,101.668637,7.92,Residential,D,5.14,78.6,GratedInlet,72.2,100,0.06457286432160804,0.722,High Risk
"Amsterdam, Netherlands",52.34962,4.931453,35.31,Informal,A,7.09,91.69999999999999,Manhole,27.3,100,0.07648327939590076,0.273,Low Risk
"London, UK",51.522421,-0.041596,30.56,Institutional,D,5.68,165.4,CurbInlet,51.7,25,0.03413461538461538,2.068,Low Risk
"Kuala Lumpur, Malaysia",3.182016,101.620147,85.22,Commercial,A,10.16,122.1,GratedInlet,72.1,100,0.08253452477660439,0.721,Low Risk
"Miami, USA",25.786716,-80.317555,7.27,Institutional,D,2.87,263.6,OpenChannel,41.2,10,0.010846560846560846,4.12,Medium Risk
"Miami, USA",25.78801,-80.325151,9.35,Commercial,B,3.97,157.1,CurbInlet,50.9,5,0.02511068943706515,10.18,Low Risk
"New Orleans, USA",29.993055,-90.129588,13.63,Roads,A,6.04,75.8,CurbInlet,46.0,50,0.07864583333333333,0.92,Low Risk
"Sydney, Australia",-33.793664,151.092246,1.95,Roads,C,9.25,110.7,CurbInlet,51.9,5,0.0828111011638317,10.379999999999999,Medium Risk
"Seoul, South Korea",37.539976,127.097577,50.72,Commercial,B,8.27,121.5,CurbInlet,39.7,10,0.06751020408163265,3.97,Low Risk
"Hyderabad, India",17.331108,78.483171,64.42,Green,C,6.37,185.3,CurbInlet,41.2,25,0.034192163177670425,1.6480000000000001,Low Risk
"Rio de Janeiro, Brazil",-22.863116,-43.254828,17.32,Industrial,C,10.0,168.4,OpenChannel,60.7,100,0.05903187721369539,0.607,Low Risk
"Doha, Qatar",25.29081,51.644414,25.130000000000003,Commercial,B,6.19,4.8,GratedInlet,23.2,2,1.067241379310345,11.6,Low Risk
"Sydney, Australia",-33.785876,151.266765,5.76,Green,D,8.36,131.9,Manhole,19.3,2,0.06290443942814146,9.65,Medium Risk
"Brisbane, Australia",-27.447855,153.020973,81.74,Green,A,6.22,118.6,GratedInlet,51.6,5,0.0520066889632107,10.32,Low Risk
"Sydney, Australia",-33.937933,151.32663,-1.47,Industrial,C,5.36,49.6,CurbInlet,29.3,10,0.10592885375494071,2.93,Medium Risk
"Taipei, Taiwan",24.990263,121.476219,62.46,Roads,C,3.63,129.8,OpenChannel,21.8,5,0.02775229357798165,4.36,Low Risk
"Lima, Peru",-12.042736,-77.1659,42.61,Roads,B,6.24,56.6,CurbInlet,24.1,2,0.10833333333333334,12.05,Low Risk
"Montreal, Canada",45.463651,-73.619883,45.99,Roads,D,9.58,91.69999999999999,Manhole,16.1,10,0.10334412081984899,1.61,Low Risk
"Rotterdam, Netherlands",51.927443,4.541447,26.82,Industrial,C,6.3,28.2,OpenChannel,23.8,10,0.21575342465753425,2.38,Low Risk
"Amsterdam, Netherlands",52.474882,4.858746,7.81,Industrial,C,5.29,14.2,Manhole,37.9,25,0.3480263157894737,1.516,Medium Risk
"Singapore, Singapore",1.452783,103.876058,25.130000000000003,Industrial,D,10.89,53.0,GratedInlet,48.1,5,0.2016666666666667,9.620000000000001,Low Risk
"Vancouver, Canada",49.383375,-123.251292,-3.0,Mixed,B,5.25,61.2,CurbInlet,57.8,25,0.08440514469453375,2.312,High Risk
"Ho Chi Minh City, Vietnam",10.84268,106.748436,21.62,Water,C,7.59,200.3,Manhole,54.0,2,0.03770491803278688,27.0,Low Risk
"Sao Paulo, Brazil",-23.507038,-46.615278,-3.0,Roads,B,6.45,43.5,Manhole,45.1,10,0.1449438202247191,4.51,Medium Risk
"Vancouver, Canada",49.314033,-123.119837,9.94,Industrial,B,9.75,12.9,GratedInlet,16.9,2,0.7014388489208633,8.45,Low Risk
"Athens, Greece",37.888212,23.817331,-3.0,Commercial,B,5.62,91.69999999999999,CurbInlet,31.8,5,0.06062567421790724,6.36,Medium Risk
"Manila, Philippines",14.562976,121.036665,25.130000000000003,Industrial,C,10.2,20.0,CurbInlet,53.3,10,0.48571428571428565,5.33,Low Risk
"Taipei, Taiwan",24.974956,121.547199,84.02,Residential,C,6.83,23.3,GratedInlet,15.2,50,0.2810699588477366,0.304,Low Risk
"Riyadh, Saudi Arabia",24.551771,46.712203,-3.0,Mixed,A,6.03,74.6,Manhole,21.8,2,0.07976190476190477,10.9,Medium Risk
"Houston, USA",29.735935,-95.236374,57.71,Residential,D,7.9,91.69999999999999,CurbInlet,23.5,5,0.08522114347357067,4.7,Low Risk
"Accra, Ghana",5.701548,-0.269862,9.88,Residential,C,3.81,60.2,Manhole,79.2,50,0.062254901960784315,1.584,Low Risk
"Sydney, Australia",-33.851686,151.135394,-3.0,Industrial,C,6.25,275.3,OpenChannel,17.0,5,0.022620340209916757,3.4,Medium Risk
"Riyadh, Saudi Arabia",24.712484,46.758972,10.03,Roads,D,9.36,17.1,CurbInlet,15.7,10,0.5171270718232044,1.5699999999999998,Low Risk
"Lima, Peru",-12.052395,-77.084216,79.0,Residential,B,3.62,112.3,OpenChannel,23.1,2,0.031950573698146516,11.55,Low Risk
"Karachi, Pakistan",24.821874,67.022477,207.57,Residential,A,6.57,91.69999999999999,GratedInlet,48.0,25,0.07087378640776701,1.92,Low Risk
"Chennai, India",13.158386,80.376051,27.64,Industrial,C,7.0,159.1,GratedInlet,56.9,5,0.04372267332916927,11.379999999999999,Low Risk
"Istanbul, Türkiye",41.106308,28.918704,42.19,Residential,C,4.66,1.4,Manhole,13.7,10,1.9416666666666669,1.3699999999999999,Low Risk
"Pune, India",18.649573,73.829042,33.71,Residential,D,6.31,242.2,OpenChannel,23.2,2,0.025945723684210525,11.6,Low Risk
"Philadelphia, USA",39.861922,-75.125416,-3.0,Residential,B,5.59,333.1,CurbInlet,34.7,10,0.016731517509727626,3.47,Medium Risk
